127.0.0.1 - - [19/Nov/2025:22:44:22 +0800] "GET /cargocpc/index.html HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [19/Nov/2025:22:44:29 +0800] "GET /demo/ HTTP/1.1" 200 4676
0:0:0:0:0:0:0:1 - - [19/Nov/2025:22:44:36 +0800] "GET /demo/?keyword=1 HTTP/1.1" 200 4342
0:0:0:0:0:0:0:1 - - [19/Nov/2025:22:44:42 +0800] "GET /demo/ HTTP/1.1" 200 4676
0:0:0:0:0:0:0:1 - - [19/Nov/2025:22:44:47 +0800] "GET /demo/?keyword=%E9%9E%8B%E5%AD%90 HTTP/1.1" 200 4354
0:0:0:0:0:0:0:1 - - [19/Nov/2025:22:44:54 +0800] "GET /demo/?keyword=%E7%90%83%E8%A1%A3 HTTP/1.1" 200 3073
0:0:0:0:0:0:0:1 - - [19/Nov/2025:22:44:56 +0800] "GET /demo/ HTTP/1.1" 200 4676
0:0:0:0:0:0:0:1 - - [19/Nov/2025:22:44:58 +0800] "GET /demo/ HTTP/1.1" 200 4676
0:0:0:0:0:0:0:1 - - [19/Nov/2025:22:44:59 +0800] "GET /demo/ HTTP/1.1" 200 4676
0:0:0:0:0:0:0:1 - - [19/Nov/2025:22:44:59 +0800] "GET /demo/ HTTP/1.1" 200 4676
0:0:0:0:0:0:0:1 - - [19/Nov/2025:22:44:59 +0800] "GET /demo/ HTTP/1.1" 200 4676
0:0:0:0:0:0:0:1 - - [19/Nov/2025:22:45:43 +0800] "GET /demo/ HTTP/1.1" 200 4676
0:0:0:0:0:0:0:1 - - [19/Nov/2025:22:51:51 +0800] "GET /demo/ HTTP/1.1" 200 4676
0:0:0:0:0:0:0:1 - - [19/Nov/2025:22:51:51 +0800] "GET /demo/ HTTP/1.1" 200 4676
0:0:0:0:0:0:0:1 - - [19/Nov/2025:22:51:52 +0800] "GET /demo/ HTTP/1.1" 200 4676
0:0:0:0:0:0:0:1 - - [19/Nov/2025:22:51:52 +0800] "GET /demo/ HTTP/1.1" 200 4676
0:0:0:0:0:0:0:1 - - [19/Nov/2025:22:51:52 +0800] "GET /demo/ HTTP/1.1" 200 4676
0:0:0:0:0:0:0:1 - - [19/Nov/2025:22:52:00 +0800] "GET /demo/?keyword=300 HTTP/1.1" 200 3793
